state initials,county name,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,year
ME,Penobscot County,741,865,1107,1377,1811,2021
ME,Penobscot County,741,865,1107,1377,1811,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
ME,Penobscot County,642,710,936,1164,1269,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
MA,Barnstable County,1160,1334,1758,2203,2384,2021
