,state,county name,County seat,state initial,studio_2021,bedroom_1_2021,bedroom_2_2021,bedroom_3_2021,bedroom_4_2021,pop2017,lat,lng,coordinates,county,Distance (miles)
0,13,Baker County,Newton,GA,668.0,690.0,814.0,1054.0,1215.0,3250,31.3129575,-84.3357424,"(31.3129575, -84.3357424)",Baker,205
1,13,Dougherty County,Albany,GA,668.0,690.0,814.0,1054.0,1215.0,91520,31.5785074,-84.15574099999999,"(31.5785074, -84.15574099999999)",Dougherty,182
2,13,Lee County,Leesburg,GA,668.0,690.0,814.0,1054.0,1215.0,29215,31.7321156,-84.1707423,"(31.7321156, -84.1707423)",Lee,176
3,13,Terrell County,Dawson,GA,668.0,690.0,814.0,1054.0,1215.0,8980,31.7735001,-84.4465826,"(31.7735001, -84.4465826)",Terrell,167
4,13,Worth County,Sylvester,GA,668.0,690.0,814.0,1054.0,1215.0,20810,31.5307349,-83.8354542,"(31.5307349, -83.8354542)",Worth,172
5,13,Clarke County,Athens,GA,710.0,749.0,873.0,1183.0,1373.0,123555,33.9519347,-83.357567,"(33.9519347, -83.357567)",Clarke,72
6,13,Madison County,Danielsville,GA,710.0,749.0,873.0,1183.0,1373.0,28600,34.1242771,-83.2212629,"(34.1242771, -83.2212629)",Madison,87
7,13,Oconee County,Watkinsville,GA,710.0,749.0,873.0,1183.0,1373.0,35970,33.8628959,-83.4087708,"(33.8628959, -83.4087708)",Oconee,69
8,13,Oglethorpe County,Lexington,GA,710.0,749.0,873.0,1183.0,1373.0,14655,33.8698404,-83.111817,"(33.8698404, -83.111817)",Oglethorpe,88
9,13,Barrow County,Winder,GA,1101.0,1126.0,1284.0,1615.0,1976.0,75100,33.9926097,-83.7201709,"(33.9926097, -83.7201709)",Barrow,50
10,13,Bartow County,Cartersville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,102625,34.1650972,-84.7999382,"(34.1650972, -84.7999382)",Bartow,43
11,13,Carroll County,Carrollton,GA,1101.0,1126.0,1284.0,1615.0,1976.0,114900,33.5801103,-85.0766113,"(33.5801103, -85.0766113)",Carroll,50
12,13,Cherokee County,Canton,GA,1101.0,1126.0,1284.0,1615.0,1976.0,235895,34.2367621,-84.4907621,"(34.2367621, -84.4907621)",Cherokee,41
13,13,Clayton County,Jonesboro,GA,1101.0,1126.0,1284.0,1615.0,1976.0,274150,33.5215013,-84.3538128,"(33.5215013, -84.3538128)",Clayton,17
14,13,Cobb County,Marietta,GA,1101.0,1126.0,1284.0,1615.0,1976.0,739070,33.95260200000001,-84.5499327,"(33.95260200000001, -84.5499327)",Cobb,20
15,13,Coweta County,Newnan,GA,1101.0,1126.0,1284.0,1615.0,1976.0,138015,33.3806716,-84.79965729999999,"(33.3806716, -84.79965729999999)",Coweta,38
16,13,Dawson County,Dawsonville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,23395,34.4212052,-84.1190804,"(34.4212052, -84.1190804)",Dawson,57
17,13,DeKalb County,Decatur,GA,1101.0,1126.0,1284.0,1615.0,1976.0,736065,33.7748275,-84.2963123,"(33.7748275, -84.2963123)",DeKalb,6
18,13,Douglas County,Douglasville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,140150,33.7514966,-84.7477136,"(33.7514966, -84.7477136)",Douglas,23
19,13,Fayette County,Fayetteville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,110305,33.4486296,-84.4550443,"(33.4486296, -84.4550443)",Fayette,22
20,13,Forsyth County,Cumming,GA,1101.0,1126.0,1284.0,1615.0,1976.0,211300,34.2073196,-84.14019259999999,"(34.2073196, -84.14019259999999)",Forsyth,39
21,13,Fulton County,Atlanta,GA,1101.0,1126.0,1284.0,1615.0,1976.0,1010420,33.7489954,-84.3879824,"(33.7489954, -84.3879824)",Fulton,0
22,13,Gwinnett County,Lawrenceville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,889955,33.9562149,-83.9879625,"(33.9562149, -83.9879625)",Gwinnett,32
23,13,Heard County,Franklin,GA,1101.0,1126.0,1284.0,1615.0,1976.0,11605,33.2776182,-85.0979973,"(33.2776182, -85.0979973)",Heard,58
24,13,Henry County,McDonough,GA,1101.0,1126.0,1284.0,1615.0,1976.0,217505,33.4473361,-84.1468616,"(33.4473361, -84.1468616)",Henry,30
25,13,Jasper County,Monticello,GA,1101.0,1126.0,1284.0,1615.0,1976.0,13730,33.3048479,-83.6832289,"(33.3048479, -83.6832289)",Jasper,61
26,13,Newton County,Covington,GA,1101.0,1126.0,1284.0,1615.0,1976.0,105040,33.5967815,-83.8601827,"(33.5967815, -83.8601827)",Newton,35
27,13,Paulding County,Dallas,GA,1101.0,1126.0,1284.0,1615.0,1976.0,152400,33.9244531,-84.8413056,"(33.9244531, -84.8413056)",Paulding,32
28,13,Pickens County,Jasper,GA,1101.0,1126.0,1284.0,1615.0,1976.0,30345,34.4695524,-84.4289888,"(34.4695524, -84.4289888)",Pickens,60
29,13,Pike County,Zebulon,GA,1101.0,1126.0,1284.0,1615.0,1976.0,17920,33.1023454,-84.3426997,"(33.1023454, -84.3426997)",Pike,48
30,13,Rockdale County,Conyers,GA,1101.0,1126.0,1284.0,1615.0,1976.0,88480,33.6676103,-84.01769039999999,"(33.6676103, -84.01769039999999)",Rockdale,24
31,13,Spalding County,Griffin,GA,1101.0,1126.0,1284.0,1615.0,1976.0,64190,33.2467807,-84.2640904,"(33.2467807, -84.2640904)",Spalding,45
32,13,Walton County,Monroe,GA,1101.0,1126.0,1284.0,1615.0,1976.0,88695,33.7948364,-83.713229,"(33.7948364, -83.713229)",Walton,46
33,13,Butts County,Jackson,GA,675.0,680.0,896.0,1201.0,1400.0,23555,33.2945651,-83.96602089999999,"(33.2945651, -83.96602089999999)",Butts,50
34,13,Haralson County,Buchanan,GA,687.0,691.0,830.0,1116.0,1391.0,28720,33.8021734,-85.1900624,"(33.8021734, -85.1900624)",Haralson,55
35,13,Lamar County,Barnesville,GA,668.0,683.0,779.0,1011.0,1201.0,18280,33.0545709,-84.15574950000001,"(33.0545709, -84.15574950000001)",Lamar,60
36,13,Meriwether County,Greenville,GA,667.0,672.0,885.0,1197.0,1249.0,21150,33.0287373,-84.7129848,"(33.0287373, -84.7129848)",Meriwether,61
37,13,Morgan County,Madison,GA,684.0,689.0,908.0,1181.0,1572.0,18015,33.5956813,-83.467944,"(33.5956813, -83.467944)",Morgan,59
38,13,Burke County,Waynesboro,GA,689.0,767.0,883.0,1200.0,1529.0,22645,33.0898731,-82.0156736,"(33.0898731, -82.0156736)",Burke,156
39,13,Columbia County,Appling,GA,689.0,767.0,883.0,1200.0,1529.0,143725,33.54609000000001,-82.3163154,"(33.54609000000001, -82.3163154)",Columbia,129
40,13,McDuffie County,Thomson,GA,689.0,767.0,883.0,1200.0,1529.0,21490,33.4706927,-82.50457329999999,"(33.4706927, -82.50457329999999)",McDuffie,117
41,13,Richmond County,Augusta,GA,689.0,767.0,883.0,1200.0,1529.0,201570,33.4734978,-82.0105148,"(33.4734978, -82.0105148)",Richmond,145
42,13,Lincoln County,Lincolnton,GA,585.0,651.0,747.0,1009.0,1013.0,7770,33.7923477,-82.479018,"(33.7923477, -82.479018)",Lincoln,136
43,13,Brantley County,Nahunta,GA,770.0,775.0,940.0,1314.0,1440.0,18410,31.20439,-81.98122599999999,"(31.20439, -81.98122599999999)",Brantley,256
44,13,Glynn County,Brunswick,GA,770.0,775.0,940.0,1314.0,1440.0,83465,31.1499528,-81.49148939999999,"(31.1499528, -81.49148939999999)",Glynn,307
45,13,McIntosh County,Darien,GA,770.0,775.0,940.0,1314.0,1440.0,14060,31.3702255,-81.43399029999999,"(31.3702255, -81.43399029999999)",McIntosh,291
46,13,Catoosa County,Ringgold,GA,683.0,746.0,900.0,1173.0,1402.0,65870,34.9159099,-85.1091173,"(34.9159099, -85.1091173)",Catoosa,101
47,13,Dade County,Trenton,GA,683.0,746.0,900.0,1173.0,1402.0,16280,34.8720222,-85.50913000000001,"(34.8720222, -85.50913000000001)",Dade,136
